Site,Value
Beijing,14
Beijing,10
Beijing,8
Beijing,10
Beijing,9
Beijing,18
Beijing,20
Beijing,19
Beijing,19
Beijing,31
Beijing,27
Beijing,31
Beijing,28
Beijing,38
Beijing,47
Beijing,41
Beijing,43
Beijing,42
Beijing,38
Beijing,38
Beijing,48
Beijing,49
Beijing,45
Beijing,43
Beijing,48
Beijing,43
Beijing,51
Beijing,61
Beijing,74
Beijing,94
Beijing,103
Beijing,122
Beijing,171
Beijing,186
Beijing,210
Beijing,215
Beijing,234
Beijing,213
Beijing,211
Beijing,217
Beijing,224
Beijing,227
Beijing,220
Beijing,208
Beijing,123
Beijing,52
Beijing,115
Beijing,44
Beijing,21
Beijing,12
Beijing,12
Beijing,15
Beijing,31
Beijing,66
Beijing,68
Beijing,60
Beijing,53
Beijing,39
Beijing,22
Beijing,26
Beijing,27
Beijing,20
Beijing,13
Beijing,17
Beijing,25
Beijing,40
Beijing,51
Beijing,47
Beijing,58
Beijing,69
Beijing,74
Beijing,74
Beijing,77
Beijing,82
Beijing,103
Beijing,117
Beijing,134
Beijing,145
Beijing,138
Beijing,131
Beijing,130
Beijing,100
Beijing,55
Beijing,30
Beijing,18
Beijing,22
Beijing,26
Beijing,18
Beijing,14
Beijing,16
Beijing,11
Beijing,9
Beijing,6
Beijing,4
Beijing,6
Beijing,7
Beijing,5
Beijing,4
Beijing,3
Beijing,4
Beijing,6
Beijing,7
Beijing,8
Beijing,7
Beijing,6
Beijing,6
Beijing,11
Beijing,8
Beijing,7
Beijing,6
Beijing,7
Beijing,12
Beijing,13
Beijing,12
Beijing,14
Beijing,11
Beijing,8
Beijing,8
Beijing,8
Beijing,7
Beijing,11
Beijing,12
Beijing,13
Beijing,12
Beijing,10
Beijing,18
Beijing,20
Beijing,18
Beijing,15
Beijing,9
Beijing,12
Beijing,18
Beijing,31
Beijing,23
Beijing,23
Beijing,21
Beijing,31
Beijing,38
Beijing,42
Beijing,55
Beijing,60
Beijing,75
Beijing,95
Beijing,110
Beijing,123
Beijing,132
Beijing,111
Beijing,118
Beijing,133
Beijing,135
Beijing,134
Beijing,144
Beijing,162
Beijing,97
Beijing,93
Beijing,65
Beijing,62
Beijing,70
Beijing,73
Beijing,73
Beijing,75
Beijing,93
Beijing,140
Beijing,162
Beijing,153
Beijing,142
Beijing,118
Beijing,144
Beijing,201
Beijing,181
Beijing,178
Beijing,164
Beijing,165
Beijing,155
Beijing,154
Beijing,171
Beijing,180
Beijing,203
Beijing,213
Beijing,215
Beijing,215
Beijing,189
Beijing,211
Beijing,231
Beijing,243
Beijing,253
Beijing,286
Beijing,288
Beijing,316
Beijing,313
Beijing,301
Beijing,280
Beijing,281
Beijing,276
Beijing,262
Beijing,240
Beijing,244
Beijing,221
Beijing,220
Beijing,222
Beijing,234
Beijing,219
Beijing,211
Beijing,197
Beijing,176
Beijing,190
Beijing,194
Beijing,200
Beijing,201
Beijing,214
Beijing,226
Beijing,231
Beijing,220
Beijing,213
Beijing,201
Beijing,217
Beijing,228
Beijing,217
Beijing,223
Beijing,203
Beijing,214
Beijing,238
Beijing,256
Beijing,245
Beijing,237
Beijing,125
Beijing,12
Beijing,12
Beijing,11
Beijing,12
Beijing,9
Beijing,10
Beijing,7
Beijing,8
Beijing,14
Beijing,9
Beijing,17
Beijing,10
Beijing,7
Beijing,10
Beijing,5
Beijing,5
Beijing,4
Beijing,4
Beijing,3
Beijing,2
Beijing,6
Beijing,15
Beijing,8
Beijing,10
Beijing,9
Beijing,8
Beijing,10
Beijing,11
Beijing,8
Beijing,5
Beijing,8
Beijing,8
Beijing,9
Beijing,8
Beijing,10
Beijing,8
Beijing,9
Beijing,7
Beijing,4
Beijing,2
Beijing,7
Beijing,8
Beijing,22
Beijing,33
Beijing,38
Beijing,25
Beijing,8
Beijing,16
Beijing,15
Beijing,26
Beijing,37
Beijing,39
Beijing,35
Beijing,30
Beijing,36
Beijing,66
Beijing,71
Beijing,72
Beijing,72
Beijing,78
Beijing,75
Beijing,93
Beijing,104
Beijing,98
Beijing,101
Beijing,93
Beijing,85
Beijing,31
Beijing,31
Beijing,17
Beijing,6
Beijing,16
Beijing,11
Beijing,14
Beijing,15
Beijing,18
Beijing,15
Beijing,18
Beijing,23
Beijing,33
Beijing,39
Beijing,44
Beijing,55
Beijing,76
Beijing,77
Beijing,73
Beijing,74
Beijing,81
Beijing,83
Beijing,93
Beijing,94
Beijing,88
Beijing,85
Beijing,89
Beijing,78
Beijing,86
Beijing,63
Beijing,47
Beijing,42
Beijing,30
Beijing,46
Beijing,59
Beijing,75
Beijing,90
Beijing,86
Beijing,84
Beijing,111
Beijing,125
Beijing,146
Beijing,134
Beijing,123
Beijing,110
Beijing,111
Beijing,126
Beijing,130
Beijing,155
Beijing,118
Beijing,40
Beijing,26
